id,vehicle_number,charge
20130101I-2013-008287,1,CARELESS DRIVING              
20130101I-2013-011789,1,                              
20130101I-2013-011789,2,                              
20130101I-2013-011789,3,                              
20130101I-2013-027200,1,39:4-36                       
2013010213-007094,1,                              
2013010213-022914,1,39:4-50                       
2013010213-022914,2,                              
2013010213-026307,1,                              
2013010213-026307,2,                              
2013010213-037805,1,                              
2013010213-042663,1,                              
2013010213-049841,1,                              
2013010213-049841,2,                              
2013010213-108278,1,39: 4-81                      
2013010213-108278,2,                              
2013010213-108278,3,                              
2013010213-108672,1,39:4-97                       
2013010213-108672,2,                              
20130103I-2013-09776,1,39:4-97 CARELESS DRIVING      
20130103I-2013-09776,2,                              
20130103I-2013-09776,3,                              
201301042013000041,1,                              
20130105A090-2013-00213A,1,39:4-97                       
20130105A090-2013-00220A,1,                              
20130105A090-2013-00220A,2,                              
20130105A090-2013-00243A,1,39:3-10                       
20130105A090-2013-00419A,1,39:4-144                      
20130105A090-2013-00419A,2,                              
2013010813-37869,1,                              
2013010813-52697,1,                              
2013010813-52697,2,                              
2013010813-68945,1,                              
20130108E030-2013-00392A,1,39:4-96                       
20130108E030-2013-00392A,2,                              
20130108E030-2013-00413A,1,                              
20130108E030-2013-01048A,1,                              
20130110A090-2013-00010A,1,39:4-97                       
20130110A090-2013-00010A,2,                              
20130110A090-2013-00137A,1,39:4-50                       
20130110A090-2013-00137A,2,                              
20130110A090-2013-00413A,1,                              
201301112013-00004089,1,                              
201301112013-00020726,1,                              
201301112013-00025603,1,                              
201301112013-00025603,2,                              
201301112013-00032029,1,                              
201301112013-00032029,2,                              
201301112013-00035225,1,39:4-81                       
201301112013-00035225,2,                              
201301122013004620,1,39:4-50                       
201301122013004792,1,                              
201301122013004792,2,39:4-97                       
201301122013007001,1,39:4-97                       
201301122013007001,2,                              
201301122013007001,3,                              
201301122013007807,1,39:4-97                       
201301122013016870,1,                              
201301122013016870,2,                              
201301122013016870,3,                              
201301122013016870,4,39:4-97                       
201301122013019956,1,                              
201301122013019956,2,39:4-97                       
201301122013022700,1,39:3-10                       
201301122013025877,1,39:4-50                       
201301122013041767,1,39:4-97                       
20130112A160-2013-00812A,1,                              
20130113I-2013-10393,1,39:4-50                       
20130113I-2013-10393,2,39:4-50                       
20130113I-2013-12688,1,39:4-50                       
20130113I-2013-13759,1,39:4-144                      
20130113I-2013-13759,2,                              
20130113I-2013-16820,1,39:4-96                       
20130113I-2013-16820,2,                              
2013011613-02650,1,                              
20130117I-2013-001267,1,39:4-50 DWI                   
20130117I-2013-005479,1,                              
20130117I-2013-005479,2,                              
20130117I-2013-011114,1,39:3-10 LICENSING OF DRIVERS  
20130117I-2013-012683,1,39:3-76.2                     
20130117I-2013-012683,2,39:4-81                       
20130122I-2013-09151,1,                              
20130122I-2013-09151,2,                              
2013020213-17,1,39:4-50 DWI                   
2013020213-17,2,39:4-97.3 CELL PHONE          
20130202AF13-12,1,CARELESS DRIVING - 39:4-97    
2013020313-18215,1,39:4-97                       
20130205D030-2013-01552A,1,                              
20130205D030-2013-01552A,2,                              
20130206I-2013-003906,1,39:4-50 DRIVING WHILE UNDER   
20130206I-2013-003906,2,                              
20130212ER-13-05838,1,                              
20130212ER-13-07423,1,2C:12-1C(3)(9) 39:4-50        
20130212ER-13-07456,1,DWI 39:4-50                   
201302132013-004812,1,                              
