,CRN,STREET_NAME
3,2007094277,CANADOCHLY RD
4,2007094277,SCHMUCK RD
37,2007109448,BROAD ST
38,2007109448,MONTGOMERY AV
52,2007053819,9TH ST
126,2008039199,KNAPP RD
138,2007202627,OWEN AV
139,2007202627,BERKLEY AV
156,2007092202,DAUPHIN ST
238,2007086971,RIDGE RD
241,2007067695,REEVES LN
242,2007067695,STREET RD
243,2007067695,CENTENNIAL RD
296,2008016240,GERYVILLE PK
305,2007014145,FALLING SPRING RD
380,2007094779,AMERICAN LEGION MEM HW
394,2007124490,ATLAS RD
406,2007127508,THORN RUN RD
416,2007081334,EASTON RD
417,2007081334,DECATUR AV
433,2007089974,MARINE CORPS LEAG MEM HW
450,2007076006,
569,2007068202,STONY HILL RD
571,2008003435,GRAVEL PK
583,2007027474,TURNER ST
584,2007027474,10TH ST
617,2007074207,KINGSBURY RD
656,2007006258,
664,2007080347,PIZZA BARN RD
712,2007041864,MOUNT JOY RD
725,2007079987,WINDRIM AV
726,2007079987,COURTLAND ST
882,2007125644,JOHN HARRIS MEM BR
887,2007107108,G ST
888,2007107108,TIOGA ST
899,2007109749,ROY E FURMAN HW
903,2007032179,RAMP RD
918,2008035395,LOWERY AV
929,2007080206,HOLLY ST
933,2007080206,WESTMINSTER AV
976,2007008593,ORCHARD ST
977,2007008593,THIRD ST
1032,2007039653,
1079,2008016027,DRINKER PK
1084,2007119052,
1224,2007041861,KRICK LN
1274,2007055961,GRANGE RD
1345,2008008883,CHELTENHAM AV
1384,2007053819,TURNER ST
1417,2008045969,FEDOR RD
1418,2008045969,
1430,2007119108,N CHESTNUT ST
1466,2008011333,BOW CREEK RD
1467,2008011333,STATION RD
1488,2007204965,
1610,2008045483,KENNETT PK
1621,2007070563,STATION RD
1639,2008006424,
1704,2007120752,TOPTON RD
1722,2007051473,WABANK RD
1866,2008033119,TOWPATH RD
1867,2008033119,SR 0590 SH
1882,2007095949,
1963,2008007216,CIRCLE DR
1964,2008007216,APPLEWAY RD
1973,2007120403,
1983,2007023906,VETERANS HW
1984,2007023906,TRENTON RD
2088,2008005367,
2093,2007001047,MAIN ST
2094,2007001047,MACARTHUR RD
2095,2007001047,MACARTHUR RD
2220,2007090652,
2240,2007048961,
2255,2007069025,GRACE AV
2331,2007084922,WYNNEWOOD RD
2332,2007084922,WYNNEWOOD RD
2333,2007084922,LANCASTER AV
2334,2007084922,LANCASTER AV
2379,2007092366,CRYSTAL ST
2530,2007029305,PERRY HW
2538,2008008482,VALLEY FORGE RD
2540,2007063806,DUNKEL SCHOOL RD
2597,2008019936,NEW FALLS RD
2598,2008019936,NEW FALLS RD
2599,2008019936,BRISTOL OXFORD VALLEY RD
2607,2007119875,SPRINGS AV
2638,2008020303,
2644,2007060915,
2645,2007060915,
2650,2007047657,LOCUST ST
2651,2007047657,BROAD ST
2723,2007020892,WATSON RD
2833,2008035288,
2865,2007037398,BENJAMIN FRANKLIN HW
2866,2007037398,BENJAMIN FRANKLIN HW
2867,2007037398,HARBOR BRIDGE EDINBURG RD
2881,2007102776,RIDGE RD
2905,2007077700,FIRE STATION RD
2906,2007077700,KUNKLE ST
2912,2007045581,COUNTRY CLUB RD
2946,2008034114,
2974,2007091904,SAINT BERNARD ST
2975,2007091904,GREENWAY AV
3014,2008008070,DELAWARE EX
3123,2007077699,WILLIAM PENN HW
3124,2007077699,BAIRDSTOWN RD
3206,2007037231,BEANS COVE RD
3243,2007027839,ROYERSFORD RD
3324,2007044304,CENTERVILLE RD
3457,2007087960,OLD STATE RD
3488,2007102239,S 25TH ST
3507,2007202260,
3518,2007110330,STEVENSON ST
3519,2007110330,FORBES AV
3562,2007067046,HANCOCK RD
3585,2007041506,LINCOLN HW
3624,2007071562,BROAD ST ET
3625,2007071562,DELTA RD
3626,2007071562,BRYANSVILLE RD
3710,2007103509,SEVENTH ST
