id,vehicle_number,position,occupant_number,age,sex,condition
2010010210-002760,1,01,1,47,F,  
2010010210-021628,1,01,1,63,M,02
2010010210-043920,1,01,1,54,M,02
2010010210-043920,1,11,2,44,F,02
2010010210-065163,1,01,1,22,M,02
2010010210-069308,1,00,1,48,F,03
2010010210-069308,1,00,2,39,F,03
2010010210-069308,1,00,3,76,F,03
2010010210-069308,1,00,4,88,F,03
2010010210-069308,1,00,5,21,M,04
2010010210-069308,1,00,6,45,M,  
2010010210-069308,1,00,7,60,M,  
2010010210-069308,1,00,8,68,M,  
2010010210-069308,1,00,9,63,M,  
2010010210-069308,1,00,10,65,M,  
2010010210-069308,1,00,11,79,F,  
2010010210-069308,1,00,12,41,F,  
2010010210-069308,1,00,13,78,M,  
2010010210-069308,1,00,14,34,M,  
2010010210-069308,1,00,15,69,M,  
2010010210-069308,1,00,16,75,F,  
2010010210-069308,1,00,17,68,M,  
2010010210-069308,1,00,18,51,M,  
2010010210-069308,1,00,19,58,M,  
2010010210-069308,1,00,20,75,F,04
2010010210-069308,1,00,21,59,M,04
2010010210-069308,1,00,22,71,M,04
2010010210-069308,1,00,23,69,F,04
2010010210-069308,1,00,24,37,F,  
2010010210-069308,1,00,25,58,F,  
2010010210-069308,1,00,26,82,F,03
2010010210-069308,1,00,27,34,M,04
2010010210-069308,1,00,28,54,M,04
2010010210-069308,1,00,29,51,M,04
2010010210-069308,1,00,30,76,F,04
2010010210-069308,1,00,31,77,F,04
2010010210-069308,1,00,32,83,M,04
2010010210-069308,1,01,33,57,M,02
2010010210-069308,2,01,34,40,F,04
2010010210-069308,2,03,35,13,F,04
2010010210-069308,2,04,36,5,M,04
2010010210-069308,3,01,37,35,M,04
2010010210-069308,3,03,38,50,F,04
2010010210-074329,1,01,1,49,M,  
2010010210-078756,1,01,1,31,F,  
2010010210-078756,2,01,2,27,M,02
2010010210-087424,1,01,1,44,F,  
2010010210-103899,1,01,1,22,F,  
2010010210-107655,1,01,1,18,F,02
2010010210-107655,1,03,2,21,F,02
2010010210-109790,1,01,1,40,F,  
2010010210-109790,1,03,2,50,M,  
2010010210-116800,1,01,1,21,M,  
2010010210-116800,1,03,2,22,F,  
2010010210-116800,1,05,3,1,F,  
2010010210-116800,1,06,4,18,F,  
2010010210-127183,1,01,1,81,M,  
2010010210-135211,1,01,1,23,F,  
20100103I-2010-07108,1,01,1,42,M,02
20100103I-2010-07108,2,01,2,83,M,  
20100105A090-2010-00081A,1,  ,1,15,F,  
20100105A090-2010-00081A,1,01,2,57,F,  
20100105A090-2010-00081A,2,01,3,83,M,02
20100105A090-2010-00149A,1,01,1,22,M,02
20100105A090-2010-00157A,1,01,1,20,M,02
20100105A090-2010-00223A,1,01,1,25,F,04
20100105A090-2010-00223A,1,03,2,17,F,04
20100105A090-2010-00223A,1,04,3,15,F,03
20100105A090-2010-00223A,1,05,4,14,F,02
20100105A090-2010-00223A,1,06,5,14,F,04
20100105A090-2010-00232A,1,01,1,35,M,02
20100105A090201000019A,1,01,1,45,F,  
2010010710-4120,1,01,1,29,M,02
2010010810-015536,1,01,1,54,M,  
2010010810-015536,1,03,2,44,F,  
2010010810-03238,1,01,1,72,F,02
2010010810-03238,1,04,2,16,M,03
2010010810-03238,1,06,3,18,M,03
2010010810-03238,2,01,4,44,F,  
2010010810-03238,2,03,5,17,F,  
2010010810-14310,1,01,1,38,M,  
2010010810-14310,1,03,2,14,M,  
2010010810-14310,1,04,3,10,M,02
2010010810-14310,1,05,4,6,M,03
2010010810-14310,2,01,5,42,F,04
2010010810-14310,2,05,6,5,F,  
2010010810-37501,1,01,1,21,M,  
2010010810-37501,2,01,2,17,M,02
2010010810-43473,1,01,1,47,M,  
2010010810-47599,1,01,1,52,M,02
2010010810-59797,1,01,1,26,F,  
2010010810-59797,2,01,2,18,M,  
2010010810-59797,3,01,3,57,F,  
2010010810-59797,4,01,4,17,F,  
2010010810-59797,4,03,5,17,F,02
2010010810-69063,1,01,1,23,F,02
20100108E030-2010-01544A,1,01,1,25,F,02
20100108E030-2010-01544A,1,03,2,31,M,03
20100108E030/2010-00259A,1,01,1,46,F,  
20100108E030/2010-00259A,1,03,2,14,F,02
20100108E030201000521A,1,01,1,20,F,02
20100108E030201001017A,1,01,1,11,M,04
20100108E030201001017A,1,03,2,17,F,04
20100108E030201001017A,1,04,3,15,F,04
20100108E030201001017A,1,05,4,16,F,02
20100108E030201001017A,1,06,5,17,F,04
20100109A090-2010-00254A,1,01,1,42,F,02
20100109A090-2010-00254A,2,01,2,40,M,04
201001112010-00002251,1,01,1,21,F,02
201001112010-00006881,1,01,1,56,M,02
201001112010-00006881,2,01,2,33,F,03
201001112010-00006881,2,04,3,27,M,03
201001112010-00015684,1,01,1,37,M,02
201001112010-00015684,2,01,2,49,F,03
201001112010-00016840,1,01,1,82,M,02
201001112010-00016840,1,03,2,84,M,04
201001112010-00016840,1,06,3,78,F,03
201001112010-00020154,1,01,1,21,M,02
201001112010-00020154,1,03,2,22,F,02
201001112010-00024770,1,01,1,34,M,02
201001112010-00024964,1,01,1,59,M,  
201001112010-00025975,1,01,1,35,F,  
201001112010-00025975,2,01,2,32,F,03
201001112010-00025975,2,03,3,26,M,02
201001112010-00027383,1,01,1,53,M,02
2010011210-09303,1,01,1,37,F,  
2010011210-14784,1,01,1,20,M,02
2010011210-14784,2,01,2,66,M,  
2010011210-15111,1,01,1,65,M,02
2010011210-21467,1,01,1,31,M,02
2010011210-28260,1,01,1,39,M,02
2010011210-28260,2,01,2,21,F,  
2010011210-28260,2,04,3,12,F,04
2010011210-28260,2,06,4,8,M,03
2010011210-33602,1,01,1,26,M,02
2010011210-33602,1,04,2,27,M,03
2010011210-34852,1,01,1,73,M,02
2010011210-37288,1,01,1,25,M,02
2010011210-37288,1,06,2,4,M,03
2010011210-45767,1,01,1,70,M,  
2010011210-45767,1,03,2,69,F,  
2010011210-51432,1,01,1,16,M,02
2010011210-59702,1,01,1,29,F,02
2010011210-59968,1,01,1,, ,  
2010011210-61404,1,01,1,44,M,  
2010011210-61404,2,01,2,47,M,02
2010011210-61404,3,01,3,34,F,  
2010011210-9736,1,01,1,53,F,02
20100113I-2010-06394,1,01,1,30,F,  
20100113I-2010-06394,1,03,2,35,M,  
20100113I-2010-06394,2,01,3,64,M,02
20100113I-2010-09515,1,01,1,25,F,02
20100113I-2010-09515,2,01,2,47,M,  
20100113I-2010-10653,1,01,1,27,M,  
20100113I-2010-10653,1,03,2,,M,  
20100113I-2010-10653,1,04,3,,M,02
20100113I-2010-10653,1,06,4,,M,  
20100113I-2010-10653,1,10,5,,M,02
20100113I-2010-10653,2,01,6,67,F,04
20100113I-2010-10653,2,03,7,67,M,04
20100113I-2010-10653,2,05,8,25,F,02
20100113I-2010-13050,1,01,1,21,M,02
20100113I-2010-13050,1,03,2,24,M,02
20100113I-2010-13050,1,06,3,34,M,02
20100113I-2010-15851,1,01,1,19,F,04
20100113I-2010-15851,2,01,2,30,M,  
20100113I-2010-15851,2,03,3,66,M,04
20100113I-2010-15851,2,06,4,49,F,02
20100113I-2010-17766,1,01,1,23,F,02
20100113I-2010-17766,2,01,2,31,F,02
20100113I-2010-17766,3,01,3,36,M,  
20100113I-2010-18155,1,01,1,84,F,02
20100113I-2010-18155,1,03,2,55,F,03
20100113I-2010-18155,2,01,3,40,F,04
20100113I-2010-18155,2,03,4,48,M,04
20100113I-2010-20433,1,01,1,17,F,  
20100113I-2010-20433,2,01,2,21,F,02
20100114I-2010-00292,1,01,1,18,M,02
20100114I-2010-00464,1,01,1,36,M,02
20100114I-2010-11528,1,01,1,88,M,  
2010011610-01029,1,01,1,76,F,02
2010011610-01029,2,01,2,27,M,04
2010011610-08446,1,01,1,44,M,  
2010011610-10179,1,01,1,51,M,  
2010011610-12687,1,01,1,52,M,  
2010011610-12687,1,03,2,27,M,04
2010011610-12687,2,01,3,33,M,02
2010011610-12687,2,03,4,18,F,02
20100117I-2010-003606,1,01,1,52,M,  
20100117I-2010-003606,2,01,2,23,F,02
201001182010/9264,1,01,1,40,F,  
201001182010/9264,1,04,2,41,M,  
201001182010/9264,1,06,3,5,F,  
201001192010-17282,1,01,1,31,F,  
201001192010-46667,1,01,1,35,F,02
20100120C120201000212A,1,01,1,24,M,02
20100120E030-2010-00556A,1,01,1,21,M,04
20100120E030-2010-00556A,1,03,2,20,M,02
20100120E030-2010-00556A,1,04,3,21,M,04
20100120E030-2010-00556A,1,06,4,20,F,04
20100123A090-2010-00020P,1,01,1,49,M,02
20100123A090201000360A,1,01,1,36,M,  
20100123A090201000360A,1,03,2,34,M,02
20100123A090201000360A,1,05,3,14,M,04
20100123A090201000360A,1,06,4,20,M,02
20100123A090201000360A,2,01,5,42,M,04
2010020110-077,1,  ,1,, ,  
2010020110-077,2,01,2,48,M,02
2010020110-10779,1,01,1,64,F,  
20100202PI-10-0551,1,01,1,55,M,02
20100202PI-10-1896,1,01,1,31,M,02
2010020310-024119,1,01,1,62,M,02
2010020310-024119,2,01,2,43,M,04
2010020310-024119,2,03,3,26,F,04
2010020310-13925,1,01,1,28,F,  
2010020310-13925,1,03,2,16,M,  
2010020310-13925,1,04,3,9,M,  
2010020310-13925,1,06,4,5,M,  
2010020310-22825,1,01,1,74,M,02
2010020310-22825,2,01,2,34,M,  
2010020310-22825,2,03,3,30,F,  
2010020310-22825,2,04,4,5,M,  
2010020310-22825,3,01,5,20,M,  
2010020310-22825,3,03,6,21,F,  
201002042010-17435,1,01,1,27,M,  
2010020510-008081,1,01,1,72,M,  
201002062010-227,1,01,1,44,M,  
201002072010-007392,1,01,1,22,F,02
201002072010-007392,1,03,2,24,M,04
201002072010-007392,2,01,3,50,M,04
2010020810-12020,1,01,1,21,M,02
2010020810-13702,1,01,1,20,M,02
20100208PD-10-001069,1,01,1,52,F,04
20100208PD-10-001069,1,03,2,18,F,  
20100208PD-10-001069,2,01,3,69,M,03
20100208PD-10-001069,2,03,4,66,F,02
201002102010-07338,1,01,1,39,M,  
201002102010-07338,1,11,2,17,M,  
201002102010-12098,1,01,1,41,F,02
201002102010-12098,1,03,2,17,M,  
201002102010-12098,1,09,3,5,F,  
201002102010-12098,2,01,4,22,F,  
201002112010-020314,1,01,1,34,F,  
201002112010-020314,2,01,2,37,M,03
201002112010-020314,2,11,3,15,F,02
20100212B250-2010-00007A,1,11,1,24,M,02
20100212B250201000003A,1,01,1,21,M,  
20100212B250201000003A,1,03,2,21,F,  
20100212ER-10-00285,1,01,1,24,M,  
20100212ER-10-00285,1,07,2,18,F,03
20100212ER-10-00285,1,09,3,22,M,02
20100212ER-10-05106,1,01,1,45,F,  
20100212ER-10-05106,2,01,2,28,M,02
20100212ER-10-09378,1,01,1,34,F,02
20100212ER-10-09378,2,01,2,47,F,02
201002132010-002419,1,01,1,57, ,  
201002142010:31252,1,01,1,25,M,02
201002142010:31847,1,01,1,47,M,  
201002142010:31847,2,01,2,80,F,02
20100215BC-10-035875,1,01,1,40,M,  
20100215BC-10-035875,1,03,2,51,F,02
20100215BC-10-035875,1,04,3,79,F,  
20100215BC-10-035875,1,05,4,1,F,  
20100215BC-10-035875,1,06,5,22,F,  
20100215R253-10,1,01,1,29,M,02
20100215R253-10,1,03,2,39,F,04
20100215R253-10,2,01,3,28,F,04
20100215R754-10,1,01,1,38,M,  
2010021710-17008,1,01,1,43,F,02
2010021710-17008,2,01,2,56,F,  
2010021710-17008,2,10,3,10,F,04
2010021710-17008,2,10,4,13,M,04
2010021715,1,01,1,70,M,02
201002172010-12697,1,01,1,27,F,  
2010021810-1247-A-AC,1,01,1,33,F,  
2010021810-1247-A-AC,1,02,2,9,F,  
2010021810-3513-AC,1,01,1,63,F,02
2010021810-3513-AC,2,01,2,47,M,  
20100218BC-10-019062,1,01,1,31,F,  
20100219D030-2010-02762A,1,01,1,28,F,  
20100219D030-2010-02762A,2,01,2,31,M,02
20100219I-2010-03319,1,01,1,20,M,  
20100219I-2010-039940,1,01,1,51,M,  
2010022010-5126,1,01,1,44,M,  
2010022010-5444,1,01,1,46,M,  
2010022010-5873,1,01,1,39,F,02
2010022010-5873,2,01,2,42,M,04
201002206,1,01,1,18,F,03
201002206,1,03,2,18,F,03
201002206,1,04,3,18,F,02
201002206,1,05,4,17,F,03
201002206,1,06,5,18,F,04
201002206,2,01,6,20,M,03
20100221I-2010-004117,1,01,1,60,M,  
20100221I-2010-004117,2,01,2,23,M,02
20100221I-2010-016719,1,01,1,46,F,02
20100221I-2010-029310,1,01,1,42,M,02
2010022210-10894,1,01,1,48,F,02
2010022310-00759,1,01,1,54,M,02
2010022310-01274,1,  ,1,89,F,  
2010022310-01274,1,01,2,41,F,  
2010022310-01274,1,06,3,15,F,  
2010022310-12101,1,01,1,25,F,02
2010022310-24493,1,01,1,39,M,  
2010022310-24493,2,01,2,55,M,02
2010022310-31009,1,01,1,24,F,04
2010022310-31009,2,01,2,37,F,02
2010022310-31009,2,03,3,15,F,00
2010022310-31009,2,04,4,8,M,00
2010022310-31009,2,05,5,6,F,00
2010022310-32075,1,01,1,28,M,  
201002231000662,1,01,1,40,F,  
201002231000662,1,03,2,38,F,  
