id,vehicle_number,year,make,model,hit_run
2016010216-032984,1,2001,MERCEDES BENZ,320, 
2016010216-034421,1,2006,FORD,E-450, 
2016010216-041614,1,2003,CHEVROLET,VENTURE,Y
2016010216-042336,1,2007,NISSAN,MAXIMA, 
201601042016025024,1,2016,NISSAN,SEN, 
201601042016025024,2,2008,FORD,F25, 
20160105A090-2016-00113A,1,2004,BMW,325I, 
20160105A090-2016-00113A,2,2005,NISSAN,ALTIMA, 
20160105A090-2016-00327A,1,2006,DODGE,RAM, 
20160105A090-2016-00327A,2,2016,CHEVROLET,SILVERADO, 
201601082016-00002672,1,2006,CHRYSLER,TOWN & COU, 
201601082016-00008604,1,1997,MERCURY,MOUNTAINEE, 
201601082016-00015144,1,1997,NISSAN,PATHFINDER, 
201601082016-00015144,2,2003,CHRYSLER,PT CRUISER, 
201601082016-00018036,1,2013,HONDA,CIVIC, 
201601082016-00022925,1,1998,MERCURY,MOUNTAINEE, 
201601082016-00026043,1,2015,GMC,TERRAIN, 
201601082016-00034566,1,2013,NISSAN,ALTIMA, 
201601082016-00040882,1,1999,HONDA,ACCORD, 
201601082016-00044265,1,2011,AUDI,Q5, 
201601082016-00044265,2,2001,KAWASAKI,UNKNOWN, 
20160108A160-2016-00831A,1,2000,GMC,SIERRA, 
20160108E030-2016-00429A,1,2006,FORD,F250, 
20160108E030-2016-00503A,1,2004,TOYOTA,CAMRY, 
20160110A090-2016-00110A,1,2003,SUZUKI,MC, 
201601112016-00021786,1,2012,HONDA,PILOT, 
201601112016-00021786,2,2007,CHRYSLER,PT CRUISER, 
201601112016-00021786,3,2015,CHEVROLET,IMPALA, 
201601112016-00021925,1,2012,SUZUKI,, 
201601112016-00021925,2,2005,TOYOTA,HIGHLANDER, 
201601112016-00023401,1,2000,NISSAN,MAXIMA, 
201601112016-00030460,1,2003,FORD,RANGER, 
201601122016009496,1,2008,LINCOLN,OTH, 
201601122016009496,2,2005,KAWASAKI,, 
201601122016013454,1,1999,CHEVROLET,, 
201601122016013484,1,2009,NISSAN,ALT, 
201601122016029813,1,2002,TOYOTA,TAC, 
201601122016032643,1,2005,NISSAN,OTH, 
201601122016032643,2,2004,HYUNDAI,SON, 
201601122016032643,3,2006,CHEVROLET,SLV, 
201601122016041128,1,2003,HONDA,ACC, 
201601122016049471,1,2017,FORD,U9G, 
20160113I-2016-16086,1,2003,TOYOTA,CAR, 
20160113I-2016-18003,1,1993,FORD,PICK UP, 
20160113I-2016-18362,1,2001,MITSUBISHI,MIR, 
20160113I-2016-18362,2,1999,FORD,EXP, 
201601182016/10044,1,2016,FORD,FUS, 
201601182016/10735,1,2009,LINCOLN,4 DOOR, 
201601182016/10735,2,1988,HONDA,MOTORCYCLE, 
20160119I-2016-000692,1,2012,HONDA,CIVIC, 
20160119I-2016-013680,1,    ,HONDA,M/C, 
20160119I-2016-020416,1,2012,VOLKSWAGEN,JETTA, 
20160119I-2016-033931,1,2008,HONDA,ACCORD, 
20160122I-2016-02474,1,2013,FORD,FUSION, 
20160122I-2016-03636,1,2015,TOYOTA,CAMRY, 
20160122I-2016-14471,1,1991,WHITE,UNKNOWN, 
20160123A090-2016-00335A,1,1994,GMC,C6H, 
201602042016-005671,1,2012,NISSAN,SEN, 
2016020516-10865,1,2013,TOYOTA,CAMRY, 
20160206I-2016-013741,1,2002,CHEVROLET,BLZ, 
20160206I-2016-021685,1,2008,JEEP,COMMANDE, 
20160206I-2016-021685,2,2002,JEEP,LAREDO, 
20160207I-2016-012843,1,2004,DODGE,RAM, 
2016021016-02499,1,    ,TOYOTA,TAC, 
20160211I-2016-016665,1,2013,HONDA,ACC, 
20160211I-2016-016665,2,2016,FORD,EXP, 
20160212ER-16-01352,1,2010,JEEP,WRG, 
20160212ER-16-01352,2,2002,TOYOTA,RAV, 
20160212ER-16-08850,1,2007,BLUE BIRD,BUS, 
20160212ER-16-09349,1,2007,INTERNATIONAL,UNKNOWN, 
20160212ER-16-09349,2,2001,HONDA,ODYSSEY, 
201602132016-006875,1,2011,HYUNDAI,TUC, 
20160215D030-2016-00309A,1,    ,,,Y
20160215I-2016-000765,1,2004,AUDI,QUA., 
20160215I-2016-004572,1,2015,HONDA,CR, 
20160215I-2016-004572,2,2013,INFINITI,G37, 
20160215I-2016-032007,1,2002,MCI,BUS, 
20160215I-2016-037400,1,2004,CHEVROLET,MALIBU, 
20160215I-2016-037670,1,1994,HONDA,ACC, 
20160215I-2016-037670,2,2006,MERCEDES BENZ,ML3, 
20160215I-2016-037670,3,2012,TOYOTA,CAM, 
2016021816-13577-A-AC,1,2000,NISSAN,MAXIMA, 
2016021816-13577-A-AC,2,2013,HONDA,ODYESSY, 
2016021816-13577-A-AC,3,2005,FORD,EXPEDITION, 
20160219I-2016-005242,1,2009,KIA,RON, 
20160219I-2016-042716,1,2000,HONDA,ACCORD, 
2016022016-13130,1,2008,HONDA,, 
2016022016-17404,1,2015,HYUNDAI,SON, 
20160220B060-2016-01805A,1,2016,FREIGHTLINER,FRE, 
20160220B060-2016-01805A,2,2004,CHEVROLET,BLAZER, 
20160221I-2016-036408,1,2015,BMW,535, 
20160223B060-2016-01432A,1,2001,VOLVO,V70, 
20160223B060-2016-01814A,1,2012,FREIGHTLINER,TT, 
20160225I-2016-10831,1,2000,LEXUS,RX3, 
2016022929-16-009481,1,2007,BMW,328IS, 
201602312016-020182,1,2002,NISSAN,SEN, 
201602312016-020182,2,2003,CHEVROLET,TRA, 
201602312016-020182,3,2007,HONDA,ACC, 
201602332016-16250,1,2008,FREIGHTLINER,CASCA, 
201602332016-16250,2,2005,DODGE,DUR, 
20160233B060-2016-04310A,1,2006,FREIGHTLINER,CENTURY, 
20160233B060-2016-04310A,2,2010,FORD,ESCAPE, 
20160234I-2016-002894,1,2016,YAMAHA,MC, 
20160234I-2016-002894,2,2004,HONDA,ACCORD, 
