id,vehicle_number,position,occupant_number,age,sex,condition
2016010216-032984,1,01,1,26,M,  
2016010216-034421,1,01,1,51,M,  
2016010216-041614,1,01,1,,M,  
2016010216-041614,1,03,2,26,F,02
2016010216-042336,1,01,1,29,M,03
2016010216-042336,1,03,2,24,F,02
201601042016025024,1,01,1,25,F,02
201601042016025024,1,05,2,6,M,02
201601042016025024,2,01,3,32,M,04
20160105A090-2016-00113A,1,01,1,25,M,  
20160105A090-2016-00113A,2,01,2,31,F,04
20160105A090-2016-00113A,2,03,3,26,M,03
20160105A090-2016-00113A,2,06,4,25,M,02
20160105A090-2016-00327A,1,01,1,74,M,02
20160105A090-2016-00327A,2,01,2,32,M,  
201601082016-00002672,1,01,1,36,M,02
201601082016-00008604,1,01,1,60,F,  
201601082016-00015144,1,01,1,49,M,03
201601082016-00015144,2,01,2,59,F,02
201601082016-00018036,1,01,1,75,M,02
201601082016-00022925,1,01,1,46,F,02
201601082016-00026043,1,01,1,30,F,  
201601082016-00034566,1,01,1,29,M,  
201601082016-00040882,1,01,1,29,M,02
201601082016-00044265,1,01,1,32,M,  
201601082016-00044265,2,01,2,28,M,02
201601082016-00044265,2,02,3,24,F,04
20160108A160-2016-00831A,1,01,1,29,F,  
20160108E030-2016-00429A,1,01,1,35,M,04
20160108E030-2016-00429A,1,03,2,32,M,02
20160108E030-2016-00429A,1,04,3,28,M,02
20160108E030-2016-00503A,1,01,1,36,F,02
20160110A090-2016-00110A,1,01,1,18,M,02
201601112016-00021786,1,01,1,51,M,04
201601112016-00021786,2,01,2,24,M,04
201601112016-00021786,2,03,3,19,F,02
201601112016-00021786,3,01,4,54,M,04
201601112016-00021786,3,03,5,19,F,04
201601112016-00021925,1,01,1,50,M,02
201601112016-00021925,2,01,2,51,M,  
201601112016-00021925,2,03,3,17,M,  
201601112016-00023401,1,01,1,48,M,02
201601112016-00030460,1,01,1,30,M,02
201601122016009496,1,01,1,64,F,  
201601122016009496,1,03,2,92,F,  
201601122016009496,2,01,3,35,M,02
201601122016009496,2,04,4,39,F,02
201601122016013454,1,01,1,51,M,02
201601122016013484,1,01,1,54,F,  
201601122016029813,1,01,1,30,M,02
201601122016032643,1,01,1,27,F,  
201601122016032643,1,04,2,5,M,04
201601122016032643,1,06,3,8,M,04
201601122016032643,2,01,4,50,M,02
201601122016032643,3,01,5,60,M,04
201601122016041128,1,01,1,48,F,02
201601122016049471,1,01,1,53,M,  
20160113I-2016-16086,1,01,1,75,M,  
20160113I-2016-16086,1,03,2,26,F,  
20160113I-2016-18003,1,01,1,58,F,02
20160113I-2016-18362,1,01,1,24,F,  
20160113I-2016-18362,2,01,2,24,F,02
201601182016/10044,1,01,1,57,F,  
