crash_id,veh_num,make,model,body_type
202301010225,1,2001 CHEVROLET,CAM,Passenger
202301010196,3,2017 NISSAN,ALT,Passenger
202301010409,2,2007 FORD,F15,Pickup
202301010456,2,2013 NISSAN,RGE,SUV
202301010503,1,1998 MAZDA,PRO,Passenger
202301010470,1,2006 DODGE,RAM,Pickup
202301010358,1,2013 BMW,8I,Passenger
202301010196,1,(UNK) UNKNOWN,(UNK),Unknown
202301010389,1,2017 NISSAN,ALT,Passenger
202301010604,5,2017 JAGUAR,(UNK),Passenger
202301010409,1,2013 INFINITI,EX3,Passenger
202301010442,1,(UNK) UNKNOWN,(UNK),Unknown
202301010196,2,(UNK) DODGE,CHA,Passenger
202301010306,1,2009 FORD,MUS,Passenger
202301010792,1,2014 CHEVROLET,SUB,SUV
202301010604,1,2006 MERCEDES-BENZ,M50,Passenger
202301010604,4,(UNK) TOYOTA,SNA,Van/Mini-Van
202301010503,2,2017 DODGE,RAM,Pickup
202301010699,1,2013 KIA MOTORS CORPORATION,RIO,Passenger
202301010953,1,2011 JEEP,CMP,Passenger
202301010953,6,(UNK) HONDA,ODY,Unknown
202301010972,1,2017 KIA MOTORS CORPORATION,SPT,Passenger
202301010953,3,2018 BMW,330,Passenger
202301010966,3,2004 FORD,F35,Passenger
202301010972,2,(UNK) UNKNOWN,UNK,Other
202301010604,3,2008 CHEVROLET,AVO,Passenger
202301010811,1,2013 NISSAN,VRS,Passenger
202301010811,2,2009 ISUZU,(UNK),Truck Single Unit
202301010826,1,2013 FORD,500,Passenger
202301010826,2,(UNK) HONDA,PLT,Passenger
202301011038,2,2009 HYUNDAI,SFE,Passenger
202301011162,3,2013 CHEVROLET,MAL,Passenger
202301010792,2,2013 TOYOTA,CAM,Passenger
202301010953,4,2016 JEEP,CMP,Passenger
202301010966,1,1998 MACK TRUCKS  INC.,MR ,Tractor With Semi-Trailer
202301011038,1,2001 DODGE,CVN,Van/Mini-Van
202301011040,1,(UNK) TOYOTA,COA,Passenger
202301011292,1,2011 JEEP,GCH,Passenger
