crash_id,veh_num,make,model,body_type
202401081953,2,2017 GMC,SRA,Pickup
202401132576,2,(UNK) HONDA,CRV,Passenger
202401386951,1,2011 VOLVO,TRK,Tractor With Semi-Trailer
202401026147,1,2018 CHRYSLER,CVN,Van/Mini-Van
202401240407,1,2009 HYUNDAI,ACC,Passenger
202401434994,2,2001 OLDSMOBILE,AUR,Passenger
202401305113,2,2014 FORD,FOC,Passenger
202401226329,1,2007 NEW FLYER,UNK,Bus 9 to 15 seats
202401311196,2,2012 DODGE,JNY,SUV
202401424339,2,2004 FREIGHTLINER,C12,Tractor With Semi-Trailer
202401052998,1,2017 NISSAN,SEN,Passenger
202401240407,3,2012 CHEVROLET,TVS,Van/Mini-Van
202401310298,1,1995 HONDA,MC ,Motorcycle
202401355632,2,(UNK) HONDA,CIV,Passenger
202401357590,1,2013 NISSAN,SEN,Passenger
202401261552,2,(UNK) UNKNOWN,(UNK),Pickup
202401325402,2,2017 JEEP,CMP,Passenger
202401432448,1,2005 SCION,XA ,Passenger
202401068541,1,2003 CHEVROLET,IMP,Passenger
202401106338,2,2019 FORD,XPL,SUV
202401052157,1,2018 TOYOTA,SNA,Van/Mini-Van
202401120771,3,(UNK) JEEP,PAT,Passenger
202401304455,1,1992 AMF INCORPORATED,(UNK),Motorcycle
202401369650,1,1998 CHEVROLET,TOE,SUV
202401322659,2,2019 VOLVO,XC9,SUV
202401350947,1,2015 CHEVROLET,SPK,Passenger
202401079787,2,1998 HARLEY-DAVIDSON,XL1,Motorcycle
202401229578,1,2018 NISSAN,PTH,SUV
202401248760,2,2011 TOYOTA,PRI,Passenger
202401060121,3,(UNK) HARLEY-DAVIDSON,(UNK),Motorcycle
202401174911,1,2019 GMC,ACA,Passenger
202401203607,2,2001 BUICK,CEN,Passenger
202401412604,1,2007 NISSAN,MUR,Passenger
202401074306,1,2015 LEXUS,CTH,Passenger
202401364711,1,2012 KAWASAKI,UNK,Motorcycle
202401235763,2,2015 SUBARU,LEG,Passenger
202401158534,1,2019 CHEVROLET,TRV,SUV
202401066520,1,2008 PONTIAC,GRA,Passenger
202401047526,1,2006 FREIGHTLINER,C12,Tractor With Semi-Trailer
202401138636,1,1995 FORD,F25,Pickup
202401190793,1,2016 ACURA,MDX,SUV
202401136850,1,2013 DODGE,DAR,Passenger
202401190480,1,2012 NISSAN,FRT,Pickup
202401293961,2,2008 MERCURY,MLN,Passenger
202401401984,2,2006 MAZDA,TRB,Passenger
202401239568,1,2017 HYUNDAI,ELN,Passenger
202401242353,6,2010 HONDA,ACC,Passenger
202401131398,1,2013 CADILLAC,CTS,Passenger
202401117497,1,2011 TOYOTA,SNA,Van/Mini-Van
202401196751,1,2014 NISSAN,ALT,Passenger
202401246213,2,2008 CHEVROLET,IMP,Passenger
202401420637,1,2020 FORD,XPL,Passenger
202401303905,1,2014 HONDA,(UNK),Motorcycle
202401047022,1,(UNK) FREIGHTLINER,TK ,Single Unit Truck with Trailer
202401404512,2,2012 TOYOTA,VNZ,Passenger
202401276925,1,1999 HONDA,ACC,Passenger
202401272793,5,2020 CHEVROLET,EQX,SUV
202401253781,2,(UNK) UNKNOWN,UNK,Unknown
202401238133,1,(UNK) UNKNOWN,(UNK),Passenger
202401207318,1,2016 DODGE,JNY,Passenger
202401113784,1,(UNK) KAWASAKI,Z63,Motorcycle
202401319845,1,2013 CHEVROLET,CRZ,Passenger
202401315661,1,2012 CHEVROLET,TRV,SUV
202401169509,1,2019 CHRYSLER,PCF,Passenger
202401079051,2,2005 NISSAN,MAX,Passenger
202401267658,3,2002 FORD,F15,Pickup
202401377796,1,(UNK) TOYOTA,CAM,Passenger
202401255879,1,(UNK) NISSAN,SEN,Passenger
202401050136,2,2016 JEEP,WRG,SUV
202401128527,1,(UNK) KAWASAKI,(UNK),Moped or Motorized Bicycle
202401424242,3,2016 (UNK),(UNK),Van/Mini-Van
202401047006,2,2013 VOLKSWAGEN,PAS,Passenger
202401142896,1,(UNK) JEEP,(UNK),Passenger
202401109249,1,2015 CHRYSLER,200,Passenger
202401063962,1,(UNK) NISSAN,TTN,Pickup
202401223920,1,2001 CHEVROLET,S10,Pickup
202401385279,1,2020 KIA MOTORS CORPORATION,FRT,Passenger
202401157084,2,2001 CHEVROLET,CAV,Passenger
202401256922,2,2017 VOLKSWAGEN,PAS,Passenger
202401361697,2,2014 DODGE,MRV,Van/Mini-Van
202401179678,3,(UNK) HYUNDAI,PLS,Passenger
202401378691,1,2013 CHEVROLET,EQX,SUV
202401214551,1,2011 HONDA,CRV,Passenger
202401400348,1,2008 CHEVROLET,SLV,Pickup
202401283283,1,2019 CHEVROLET,EQL,SUV
202401262763,1,1996 JEEP,(UNK),SUV
202401186228,1,2011 BMW,(UNK),Motorcycle
202401172276,2,2013 NISSAN,RGE,SUV
202401172387,1,(UNK) HARLEY-DAVIDSON,(UNK),Motorcycle
202401081145,1,2020 LEXUS,NX,SUV
202401219723,2,2008 DODGE,CVN,Van/Mini-Van
202401386179,1,2016 FORD,FUS,Passenger
202401227367,1,2011 HARLEY-DAVIDSON,MC ,Motorcycle
202401232282,1,1954 HARLEY-DAVIDSON,MC ,Motorcycle
202401325302,1,2007 JEEP,WRG,Passenger
202401313011,1,2005 CHEVROLET,SUB,Passenger
202401201917,1,1998 KAWASAKI,(UNK),Motorcycle
202401172544,3,(UNK) NISSAN,RGE,SUV
202401033898,3,2015 FREIGHTLINER,TK ,Single Unit Truck with Trailer
202401092613,1,2017 FORD,ECP,SUV
202401229431,1,2016 DODGE,CHA,Passenger
202401310259,2,(UNK) KAWASAKI,MC ,Motorcycle
202401202028,1,(UNK) CADILLAC,(UNK),Passenger
202401309090,1,2009 TOYOTA,CAM,Passenger
202401265824,2,2014 CHEVROLET,CRZ,Passenger
202401372285,2,2013 AUDI,A7,Passenger
202401061833,2,2018 HONDA,PLT,SUV
202401111117,2,2008 MAZDA,MZ3,Passenger
202401404604,2,2019 FORD,XPL,SUV
202401243125,2,1996 MITSUBISHI,TK ,Pickup
202401100358,1,2007 CHEVROLET,EQX,Passenger
202401089413,2,2011 TOYOTA,CAM,Other
202401295613,1,(UNK) UNKNOWN,(UNK),Unknown
202401090507,1,2013 FORD,XPL,Passenger
202401432412,1,2012 CADILLAC,EXT,Pickup
202401355963,2,2006 HONDA,ACC,Passenger
202401072808,2,2017 KIA MOTORS CORPORATION,SOL,Passenger
202401401706,1,2018 FORD,ECP,Passenger
202401203762,4,2006 PONTIAC,TOR,SUV
202401312783,3,2013 TOYOTA,RAV,SUV
202401239363,1,(UNK) HONDA,UNK,Unknown
202401427935,1,2019 TOYOTA,RAV,Passenger
202401229561,1,2014 FORD,MUS,Passenger
202401189358,2,(UNK) DODGE,DUR,SUV
202401345117,1,2008 CHEVROLET,IMP,Passenger
202401054940,2,2003 FORD,XPL,SUV
202401152278,1,2017 CHEVROLET,SNC,Passenger
202401208843,1,2015 MERCEDES-BENZ,C30,Passenger
202401020254,3,2016 FORD,FUS,Passenger
202401285941,1,2008 FORD,F15,Pickup
202401209030,2,2016 CHEVROLET,IMP,Passenger
202401353321,2,2010 FORD,FOC,Passenger
202401421574,1,2016 TOYOTA,AVA,Passenger
202401221862,2,2016 HONDA,ACC,Passenger
202401315032,1,2016 TOYOTA,COA,Passenger
202401155190,1,(UNK) UNKNOWN,(UNK),Unknown
202401366273,1,(UNK) VOLKSWAGEN,JET,Passenger
202401278807,2,2015 CHEVROLET,CRZ,Passenger
202401032025,2,2015 HONDA,ACC,Passenger
202401241105,5,2009 ACURA,MDX,Passenger
202401131940,1,2000 HARLEY-DAVIDSON,MC ,Motorcycle
202401349486,1,2012 NISSAN,SEN,Passenger
202401159964,1,2010 MITSUBISHI,GAL,Passenger
202401339658,1,(UNK) MITSUBISHI,ECC,Passenger
202401057845,1,2017 NISSAN,PTH,Passenger
202401212793,3,2012 DODGE,UNK,Pickup
202401394941,2,(UNK) TESLA,(UNK),Passenger
202401207769,2,2020 JOHN DEERE,(UNK),Other
202401419875,2,(UNK) TESLA,(UNK),SUV
202401175365,2,2011 VOLKSWAGEN,JET,Unknown
202401206945,2,2012 GMC,VAN,Van/Mini-Van
202401227379,2,(UNK) MACK TRUCKS  INC.,TK ,Tractor With Semi-Trailer
202401180236,2,(UNK) CHRYSLER,TNC,Van/Mini-Van
202401350818,1,(UNK) CHEVROLET,TK ,Pickup
202401065809,1,2011 NISSAN,ALT,Passenger
202401425590,1,2006 CHEVROLET,TBZ,Passenger
202401335144,2,1998 (UNK),(UNK),Tractor With Semi-Trailer
202401203762,2,2017 JEEP,GCH,SUV
202401396250,2,2019 TOYOTA,HGH,SUV
202401093330,1,1999 BUICK,REG,Passenger
202401291461,1,(UNK) CHEVROLET,CAM,Passenger
202401082242,1,(UNK) (UNK),(UNK),Recreational off-highway vehicle (ROV)
202401252030,1,2001 HARLEY-DAVIDSON,MC ,Motorcycle
202401195448,1,2019 DODGE,RAM,Pickup
202401361624,2,(UNK) KENWORTH MOTOR TRUCK CO.,T80,Tractor With Semi-Trailer
202401105453,3,(UNK) CHEVROLET,EQX,Passenger
202401295625,1,(UNK) KAWASAKI,MC ,Motorcycle
202401062660,1,2005 CHRYSLER,30,Passenger
202401168650,1,2017 HARLEY-DAVIDSON,MC ,Motorcycle
202401266154,2,2008 HONDA,CRV,Passenger
202401229585,4,2020 HYUNDAI,PLS,SUV
202401204527,2,2020 TOYOTA,4RN,SUV
202401225799,3,2015 JEEP,GCH,SUV
202401361697,1,2002 CHEVROLET,UNK,SUV
202401298072,1,2014 MACK TRUCKS  INC.,TK ,Tractor Without Semi-Trailer
202401403026,2,(UNK) INDIAN MOTORCYCLE CO.,UNK,Motorcycle
202401067658,4,2016 TOYOTA,CAM,Passenger
202401435436,2,2019 HYUNDAI,SFE,Passenger
202401108974,9,2020 JEEP,GLD,Passenger
202401214105,1,(UNK) SUBARU,ASC,Passenger
202401166714,2,2018 CHEVROLET,MAL,Passenger
202401321519,2,2008 VOLVO,S60,Passenger
202401256304,1,2018 (UNK),(UNK),Motorcycle
202401208839,1,2014 PORSCHE,CAY,Passenger
202401318753,1,2020 TOYOTA,COA,Passenger
202401050162,4,2020 TOYOTA,COA,Passenger
202401432633,1,2017 FORD,F15,Pickup
202401028630,1,2019 KIA MOTORS CORPORATION,FRT,Passenger
202401312078,1,(UNK) KIA MOTORS CORPORATION,FRT,Passenger
202401232592,1,2011 NISSAN,ALT,Passenger
202401426069,2,2020 FORD,XPL,SUV
202401236146,2,(UNK) HONDA,CIV,Passenger
202401294947,2,2017 KIA MOTORS CORPORATION,SOL,Passenger
202401160755,1,2017 FORD,EPD,SUV
202401121138,1,2015 NISSAN,ALT,Passenger
202401232244,1,2005 SUZUKI,SV1,Motorcycle
202401243076,1,2017 FREIGHTLINER,TK ,Tractor With Semi-Trailer
202401018679,1,2004 CHEVROLET,C1C,Passenger
202401020745,1,2008 FORD,FOC,Passenger
202401015986,2,1985 (UNK),(UNK),Other
202401397078,5,2018 VOLKSWAGEN,TGN,SUV
202401232592,2,2019 NISSAN,RGE,SUV
202401339658,2,2019 TESLA,MDS,SUV
202401157123,1,2005 MAZDA,UNK,Passenger
202401436187,2,(UNK) MAZDA,UNK,Passenger
202401070610,1,2015 NISSAN,ALT,Passenger
202401122023,1,2016 TOYOTA,TAC,Passenger
202401432420,1,2017 DODGE,CHA,Passenger
202401248449,1,2007 DODGE,CVN,Van/Mini-Van
202401195531,2,(UNK) KTM,DUK,Motorcycle
202401246790,1,(UNK) UNKNOWN,UNK,Unknown
202401214155,1,1999 PONTIAC,GRM,Passenger
202401017914,2,2015 GMC,ACA,Passenger
202401072808,3,2016 KIA MOTORS CORPORATION,SOL,Passenger
202401360407,3,2016 CHEVROLET,EQX,Passenger
202401158331,1,2012 CHEVROLET,TRV,Passenger
202401107491,1,(UNK) TESLA,MDS,Passenger
202401292614,1,2008 JEEP,WRG,SUV
202401050973,2,2010 HONDA,EEX,Passenger
202401149752,2,2013 DODGE,JNY,Passenger
202401217902,1,2013 (UNK),(UNK),Motorcycle
202401113839,1,(UNK) UNKNOWN,(UNK),Unknown
202401059018,1,(UNK) HONDA,CRV,Passenger
202401213857,1,(UNK) UNKNOWN,(UNK),Unknown
202401251526,2,2019 FORD,ECP,Passenger
202401123496,2,2015 HYUNDAI,SON,Passenger
202401123685,1,2009 NISSAN,ALT,Passenger
202401329741,1,(UNK) FORD,LT2,Passenger
