id,vehicle_number,charge
20090101I-2009-013536,1,39:4-50                       
2009010209-020066,1,39:4-50                       
2009010209-020066,2,                              
2009010209-024999,1,                              
2009010209-039386,1,                              
2009010209-039386,2,                              
2009010209-044819,1,                              
2009010209-046462,1,39:4-97.3                     
2009010209-046462,2,                              
2009010209-058522,1,                              
2009010209-074576,1,                              
2009010209-074576,2,                              
2009010209-079311,1,                              
2009010209-081539,1,UNLICENSED DRIVER 39:3-10     
2009010209-083084,1,39:4-50                       
2009010209-083084,2,                              
2009010209-083084,3,                              
2009010209-095088,1,                              
2009010209-095088,2,                              
2009010209-095534,1,39:4-50A                      
2009010209-112575,1,                              
2009010209-115586,1,                              
2009010209-115586,2,                              
2009010209-121915,1,                              
2009010209-121915,2,                              
2009010209-127902,1,                              
2009010209-128379,1,                              
2009010209-143849,1,                              
2009010209-149100,1,                              
2009010209-156322,1,                              
20090102A160-2009-00085A,1,39:4-50                       
20090102A160-2009-00145A,1,                              
20090102A160-2009-00145A,2,                              
20090103I-2009-06054,1,39:4-97                       
20090103I-2009-09347,1,                              
20090103I-2009-09347,2,                              
20090103I-2009-09347,3,                              
20090103I-2009-12617,1,                              
20090105A090-2009-00117A,1,39:4-96-RECKLESS DRIVING      
20090105A090-2009-00117A,2,                              
20090106A090-2009-00181A,1,39:4-50                       
200901072009-1569,1,39:3-47                       
200901072009-1569,2,39:4-97                       
200901072009-2073,1,39:3-76?2 F                   
200901072009-2073,2,39:4-97                       
200901072009-5625,1,                              
2009010809-007356,1,39:4-50                       
2009010809-040192,1,39:4-97 3-33                  
2009010809-045671,1,                              
2009010809-045671,2,39:4-144                      
2009010809-074501,1,                              
2009010809-13305,1,39:3-76.2F                    
2009010809-13305,2,39:4-66                       
2009010809-14028,1,39:4-50                       
2009010809-34179,1,39:4-50                       
2009010809-41916,1,                              
2009010809-41916,2,39:4-66                       
2009010809-43930,1,39:4-50                       
2009010809-47830,1,39:4-97                       
2009010809-53095,1,                              
2009010809-56100,1,                              
2009010809-56100,2,39:4-144                      
2009010809-7369,1,39:4-50                       
2009010809-75685,1,                              
2009010809-75685,2,39:4-144                      
2009010809-75685,3,                              
2009010809-75685,4,                              
2009010809-76975,1,                              
20090108E030200900853A,1,39:4-50                       
200901112009-00000328,1,                              
200901112009-00000328,2,39:4-97                       
200901112009-00000328,3,39:3-10                       
200901112009-00006351,1,                              
200901112009-00006351,2,39:4-97                       
200901112009-00009499,1,                              
200901112009-00009499,2,                              
200901112009-00009634,1,                              
200901112009-00011918,1,                              
200901112009-00013173,1,39:4-97                       
200901112009-00013173,2,                              
200901112009-00013664,1,39:4-97 39:3-76.7             
200901112009-00013664,2,                              
200901112009-00013987,1,                              
200901112009-00013987,2,                              
200901112009-00014533,1,                              
200901112009-00019722,1,39:4-50                       
200901112009-00019808,1,39:4-50                       
200901112009-00019808,2,                              
200901112009-00020202,1,39:68-2                       
200901112009-00020202,2,                              
200901112009-00022376,1,                              
200901112009-00022376,2,                              
20090111E030-2009-00085A,1,39:4-88B                      
2009011209-19955,1,CARELESS DRIVING 39:4-97      
2009011209-30496,1,39:4-50                       
2009011209-38548,1,                              
2009011209-40142,1,39:4-97                       
2009011209-46033,1,39:4-97 39:4-88B 39:6B-2      
2009011209-60745,1,39:4-50                       
2009011209-62371,1,                              
2009011209-65423,1,39:4-97 39:4-88B 39:3-76.2 39?
2009011209-65423,2,                              
2009011209-65423,3,39:3-4                        
20090113I-2009-04638,1,39:4-14.1A                    
20090113I-2009-08723,1,39:4-144                      
20090113I-2009-08723,2,                              
20090113I-2009-12031,1,CARELESS DRIVING              
20090113I-2009-12031,2,                              
20090113I-2009-21292,1,                              
20090113I-2009-22020,1,                              
20090114I-2009-01094,1,                              
20090114I-2009-01094,2,39:4-144                      
20090114I-2009-04184,1,CARELESS DRIVING              
20090114I-2009-04184,2,                              
20090114I-2009-05169,1,39:4-50                       
2009011609-11854,1,                              
2009011609-15893,1,39:4-50                       
2009011609-15893,2,                              
