id,vehicle_number,charge
20150101I-2015-032852,1,39:4-96 RECKLESS DRIVING      
2015010215-029866,1,                              
2015010215-031224,1,39:4-81                       
2015010215-031224,2,                              
2015010215-034408,1,39:3-13.4                     
2015010215-040955,1,                              
2015010215-040955,2,                              
2015010215-047766,1,                              
2015010215-047766,2,                              
2015010215-080573,1,                              
20150102A160-2015-00301A,1,                              
20150102A160-2015-00301A,2,                              
20150103I-2015-03183,1,39:4-50 DWI                   
201501042015005254,1,39:4-97                       
201501042015005254,2,                              
201501042015010481,1,                              
20150105A090-2015-00119A,1,39 4 144                      
2015010715-09998,1,39:4-144                      
2015010715-09998,2,                              
201501072015010193,1,                              
201501072015010193,2,39:4-123                      
2015010815-11191,1,                              
201501082015-00012864,1,39:4-50                       
201501082015-00045679,1,39:4-144                      
201501082015-00045679,2,                              
201501082015-00080347,1,                              
201501082015-00080524,1,39:4-88B                      
201501082015-00080524,2,                              
201501082015-00081011,1,39:4-144                      
201501082015-00081011,2,                              
201501082015-00081795,1,39:4-97                       
201501082015-00081795,2,                              
201501082015-35551,1,                              
20150110A090-2015-00166A,1,39 4 97                       
20150110A090-2015-00166A,2,                              
201501112015-00014734,1,39:4-50                       
201501112015-00018611,1,39:4-32                       
201501112015-00030667,1,39:4-90                       
201501112015-00030667,2,                              
201501112015-00035223,1,39:4-88B                      
201501112015-00035223,2,                              
201501112015-00035223,3,                              
201501112015-00039157,1,39:4-144                      
201501112015-00039157,2,                              
201501122015014347,1,                              
201501122015016226,1,                              
201501122015016226,2,39:4-97                       
201501122015020681,1,                              
201501122015020681,2,39:4-97                       
201501122015022492,1,39:4-129A                     
201501122015022492,2,39:4-97                       
201501122015025188,1,                              
201501122015028003,1,                              
201501122015037780,1,39:4-97A                      
201501122015037780,2,                              
201501122015041112,1,                              
201501122015041112,2,                              
20150112A160-2015-00289A,1,39:4-97                       
20150112A160-2015-00304A,1,39:4-97                       
20150112A160-2015-00304A,2,                              
20150113I-2015-07805,1,39:4-97                       
20150113I-2015-07805,2,                              
20150113I-2015-18388,1,39:4-144                      
20150113I-2015-18388,2,                              
20150117I-2015-001864,1,39:4-96 RECKLESS DRIVING      
20150119I-2015-035806,1,39:3-10 UNLICENSED DRIVER     
20150120E030-2015-00010A,1,39:4-50                       
20150120E030-2015-01433A,1,39:4-97                       
20150122I-2015-08114,1,                              
20150122I-2015-08114,2,39:4-144                      
20150122I-2015-11394,1,39:4-97 CARELESS DRIVING      
20150122I-2015-11394,2,                              
20150122I-2015-11394,3,                              
2015020315-01745,1,LEAVING THE SCENE 39:4-129A   
2015020315-29337,1,39:4-80 FAILURE TO OBEY       
2015020315-40538,1,                              
2015020515-00414,1,39:4-144                      
2015020515-00414,2,                              
2015020515-00414,3,                              
2015020515-00414,4,                              
2015020515-08867,1,39:4-97                       
2015020515-08867,2,                              
2015020515-08867,3,                              
20150206I-2015-000220,1,39:4-50 DRIVING WHILE UNDER T?
20150206I-2015-005305,1,                              
20150206I-2015-005305,2,                              
20150206I-2015-012239,1,39:4-50 DRIVING WHILE UNDER T?
201502072015-008888,1,39:4-50 DWI                   
201502072015-009844,1,39:4-97  39:4-90              
20150211B060-2015-00835A,1,                              
20150211B060-2015-02238A,1,                              
20150211B060-2015-02238A,2,                              
20150211B060-2015-02238A,3,                              
20150211I-2015-039763,1,                              
20150211I-2015-039763,2,                              
201502132015-002289,1,39:4-50  39:4-97A             
201502132015-003844,1,                              
201502132015-003844,2,39:4-50                       
20150215I-2015-036263,1,39:4-97 CARELESS DRIVING: LIK?
20150216I-2015-020172,1,                              
20150216I-2015-020172,2,39:3-33 IMPROPER DISPLAY OF P?
2015021715-10356,1,                              
2015021715-10356,2,                              
2015021715-18583,1,                              
2015021815-14706-AC,1,                              
2015021815-14706-AC,2,                              
2015021815-4190-AC,1,                              
20150219I-2015-030307,1,39:4-125 IMPROPER U-TURN      
20150219I-2015-037873,1,                              
20150219I-2015-037873,2,39:4-50                       
2015022015-16065,1,39:4-50 DWI                   
2015022015-1834,1,39:4-50                       
2015022015-8635,1,                              
2015022015-8635,2,39:4-82 FAIL TO KEEP RIGHT    
20150221I-2015-027121,1,                              
20150221I-2015-027121,2,                              
20150221I-2015-029821,1,                              
20150221I-2015-029821,2,                              
20150221I-2015-032607,1,                              
20150221I-2015-032607,2,                              
20150221I-2015-032804,1,                              
